CCE ID,Description
CCE-84747-5,Disable AirDrop
CCE-84894-5,Must Use an Approved Antivirus Program
CCE-84926-5,Enforce Apple Mobile File Integrity
CCE-84748-3,Disable Apple ID Setup during Setup Assistant
CCE-84928-1,Configure Apple System Log Files Owned by Root and Group to Wheel
CCE-84930-7,Configure Apple System Log Files To Mode 640 or Less Permissive
CCE-84749-1,Disable Bonjour Multicast
CCE-84750-9,Disable Calendar.app
CCE-84751-7,Disable Camera
CCE-84929-9,"Enforce Installation of XProtect, MRT, and Gatekeeper Updates Automatically"
CCE-84951-3,Integrate System into a Directory Services Infrastructure
CCE-84931-5,Must Use ESS
CCE-84932-3,FileVault Authorized Users
CCE-84754-1,Disable FileVault Automatic Login
CCE-84756-6,Control Connections to Other Systems via a Deny-All and Allow-by-Exception Firewall Policy
CCE-84757-4,Enable Firewall Logging
CCE-84758-2,Enable Firmware Password
CCE-84759-0,Enable Gatekeeper
CCE-84852-3,Enforce Gatekeeper 30 Day Automatic Rearm
CCE-84763-2,Disable Handoff
CCE-84764-0,Secure User's Home Folders
CCE-84765-7,Disable the Built-in Web Server
CCE-84766-5,Disable iCloud Storage Setup during Setup Assistant
CCE-84767-3,Disable the Internet Accounts System Preference Pane
CCE-84768-1,Disable Infrared (IR) support
CCE-84769-9,Disable Mail App
CCE-84803-6,Enforce Enrollment in Mobile Device Management
CCE-84770-7,Disable Messages App
CCE-84942-2,Configure System Log Files Owned by Root and Group to Wheel
CCE-84934-9,Configure System Log Files to Mode 640 or Less Permissive
CCE-84772-3,Disable Network File System Service
CCE-84773-1,Enable Parental Controls
CCE-84774-9,Disable Password Autofill
CCE-84775-6,Disable Proximity Based Password Sharing Requests
CCE-84776-4,Disable Password Sharing
CCE-84777-2,Display Policy Banner at Login Window
CCE-84778-0,Display Policy Banner at Remote Login
CCE-84779-8,Enforce SSH to Display Policy Banner
CCE-84781-4,Disable Privacy Setup Services During Setup Assistant
CCE-84782-2,Disable Removable Storage Devices
CCE-84783-0,Disable Root Login
CCE-84786-3,Enforce Screen Saver at Login Window
CCE-84789-7,Ensure Secure Boot Level Set to Full
CCE-84790-5,Ensure System Integrity Protection is Enabled
CCE-84791-3,Disable Siri Setup during Setup Assistant
CCE-84916-6,Limit SSH to FIPS 140 Validated Ciphers
CCE-84917-4,Limit SSH to FIPS 140 Validated Message Authentication Code Algorithms
CCE-84918-2,Set SSH Active Server Alive Maximum to Zero
CCE-84919-0,Configure SSH ServerAliveInterval option set to 900 or less
CCE-84792-1,Set SSHD Active Client Alive Maximum to Zero
CCE-84793-9,Configure SSHD ClientAliveInterval option set to 900 or less
CCE-84794-7,Limit SSHD to FIPS 140 Validated Ciphers
CCE-84795-4,Limit SSHD to FIPS 140 Validated Message Authentication Code Algorithms
CCE-84935-6,Configure SSHD to Use Secure Key Exchange Algorithms
CCE-84796-2,Set Login Grace Time to 30 or Less
CCE-84798-8,Disable Root Login for SSH
CCE-84799-6,Configure Sudoers to Authenticate Users on a Per -tty Basis
CCE-84851-5,Ensure System Volume is Read Only
CCE-84853-1,Disable Trivial File Tansfer Protocol Service
CCE-84801-0,Enable Time Synchronization Daemon
CCE-84802-8,Disable TouchID Prompt during Setup Assistant
CCE-84804-4,Disable Login to Other User's Active and Locked Sessions
CCE-84805-1,Prohibit User Installation of Software into /Users/
CCE-84806-9,Disable Unix-to-Unix Copy Protocol Service
CCE-84807-7,Restrict Maximum Password Lifetime to 60 Days
CCE-84808-5,Disable Accounts after 35 Days of Inactivity
CCE-84809-3,Limit Consecutive Failed Login Attempts to Three
CCE-84810-1,Set Account Lockout Time to 15 Minutes
CCE-84811-9,Require Passwords Contain a Minimum of One Numeric Character
CCE-84814-3,Prohibit Password Reuse for a Minimum of Five Generations
CCE-84815-0,Require Passwords Contain a Minimum of One Lowercase Character
CCE-84816-8,Require a Minimum Password Length of 15 Characters
CCE-84817-6,Set Minimum Password Lifetime to 24 Hours
CCE-84818-4,"Prohibit Repeating, Ascending, and Descending Character Sequences"
CCE-84819-2,Require Passwords Contain a Minimum of One Special Character
CCE-84940-6,Automatically Remove or Disable Temporary or Emergency User Accounts within 72 Hours
CCE-84821-8,Require Passwords Contain a Minimum of One Uppercase Character
CCE-84730-1,Disable iCloud Address Book
CCE-84731-9,Disable the System Preference Pane for Apple ID
CCE-84732-7,Disable iCloud Bookmarks
CCE-84733-5,Disable the iCloud Calendar Services
CCE-84734-3,Disable iCloud Document Sync
CCE-84735-0,Disable iCloud Keychain Sync
CCE-84736-8,Disable iCloud Mail
CCE-84737-6,Disable iCloud Notes
CCE-84738-4,Disable iCloud Photo Library
CCE-84739-2,Disable iCloud Reminders
CCE-84740-0,Disable iCloud Desktop and Document Folder Sync
CCE-84822-6,Disable Ad Tracking
CCE-84823-4,Disable Apple Filing Protocol Sharing
CCE-84824-2,Prevent Apple Watch from Terminating a Session Lock
CCE-84825-9,Disable Unattended or Automatic Logon to the System
CCE-84870-5,Enforce Auto Logout After 24 Hours of Inactivity
CCE-84826-7,Disable Bluetooth When no Approved Device is Connected
CCE-84827-5,Disable Bluetooth Sharing
CCE-84828-3,Disable Content Caching Service
CCE-84936-4,Enforce Critical Security Updates to be Installed
CCE-84829-1,Disable Sending Diagnostic and Usage Data to Apple
CCE-84830-9,Enforce FileVault
CCE-84831-7,Disable Find My Service
CCE-84832-5,Enable macOS Application Firewall
CCE-84833-3,Enable Firewall Stealth Mode
CCE-84834-1,Apply Gatekeeper Settings to Block Applications from Unidentified Developers
CCE-84835-8,Configure Gatekeeper to Disallow End User Override
CCE-84760-8,Disable Guest Access to Shared Apple File Protocol Folders
CCE-84761-6,Disable Guest Access to Shared SMB Folders
CCE-84939-8,Disable the Guest Account
CCE-84836-6,Disable Hot Corners
CCE-84912-5,Disable Sending Siri and Dictation Information to Apple
CCE-84837-4,Disable Internet Sharing
CCE-84838-2,Disable Location Services
CCE-84839-0,Configure Login Window to Prompt for Username and Password
CCE-84771-5,Disable Media Sharing
CCE-84840-8,Disable Password Hints
CCE-84780-6,Disable Power Nap
CCE-84841-6,Disable Remote Apple Events
CCE-84842-4,Disable Screen Sharing and Apple Remote Desktop
CCE-84785-5,Enforce Session Lock After Screen Saver is Started
CCE-84921-6,Enforce Screen Saver
CCE-84787-1,Enforce Screen Saver Password
CCE-84788-9,Enforce Screen Saver Timeout
CCE-84843-2,Disable Siri
CCE-84844-0,Disable Server Message Block Sharing
CCE-84920-8,Disable SSH Server for Remote Access Sessions
CCE-84845-7,Enable SSH for Remote Access Sessions
CCE-84937-2,Require Administrator Password to Modify System-Wide Preferences
CCE-84846-5,Configure macOS to Use an Authorized Time Server
CCE-84847-3,Enable macOS Time Synchronization Daemon (timed)
CCE-84848-1,Configure User Session Lock When a Smart Token is Removed
CCE-84849-9,Disable TouchID for Unlocking the Device
CCE-84938-0,Disable Wi-Fi Interface
CCE-84923-2,Audit Record Reduction and Report Generation
CCE-84863-0,Allow Information Transfer with Other Operating Systems
CCE-84943-0,Ensure Seperate Execution Domain for Processes
CCE-84882-0,Allow Administrators to Modify Security Settings and System Attributes
CCE-84889-5,Protect Audit Integrity with Cryptographic Mechanisms
CCE-84854-9,Enforce Access Restrictions
CCE-84887-9,Generate Error Messages without Exploitable Information
CCE-84860-6,"Configure System to Fail to a Known Safe State if System Initialization, Shutdown, or Abort Fails"
CCE-84878-8,Allow Administrators to Promote Other Users to Administrator Status
CCE-84867-1,Configure the System to Implement Approved Cryptography to Protect Information
CCE-84866-3,Configure the System to Protect Memory from Unauthorized Code Execution
CCE-84876-2,Configure the System to Separate User and System Functionality
CCE-84861-4,Only allow authorized users to select auditable events
CCE-84855-6,Limit Concurrent GUI Sessions to 10 for all Accounts
CCE-84857-2,Enforce Approved Authorization for Logical Access
CCE-84859-8,Display logoff capability and message to prevent exploitation
CCE-84933-1,Ensure the System Implements Malicious Code Protection Mechanisms
CCE-84873-9,Map identity for PKI based authentication
CCE-84883-8,Enforce multifactor authentication for network access to privileged accounts
CCE-84864-8,Enforce multifactor authentication for network access to non-privileged accounts
CCE-84869-7,Obscure Passwords
CCE-84885-3,The macOS system must uniquely identify peripherals before establishing a connection.
CCE-84871-3,Must behave in predictable and documented manner
CCE-84862-2,Prevent Software From Executing at Higher Privilege Levels than Users Executing The Software
CCE-84856-4,Configure the System to Block Non-Privileged Users from Executing Privileged Functions
CCE-84880-4,Configure the System to Prevent the Unauthorized Disclosure of Data via Shared Resources
CCE-84950-5,Prohibit Remote Activation of Collaborative Computing Devices
CCE-84875-4,Provide Ability to Disconnect or Disable Remote Access
CCE-84890-3,Require users to reauthenticate for privilege escalation
CCE-84872-1,Require users to reauthenticate when changing authenticators
CCE-84868-9,Control remote access methods
CCE-84865-5,Must remove all software components after updated versions installed
CCE-84877-0,"Ensure all Federal Laws, Executive Orders, Directives, Policies, Regulations, Standards, and Guidance for Authentication to a Cryptographic Module are Met"
CCE-84941-4,Protected Storage for Cryptographic Keys
CCE-84888-7,Configure the System to Separate User and System Functionality
CCE-84879-6,Encrypt Stored Passwords
CCE-84881-2,Terminate all sessions and network connections when maintenance is completed
CCE-84874-7,Uniquely Identify Users and Processes
CCE-84858-0,Verify remote disconnection of sessions
CCE-84812-7,Automatically Remove or Disable Emergency Accounts within 72 Hours
CCE-84813-5,Force Password Change at Next Logon
CCE-84820-0,Automatically Remove or Disable Temporary User Accounts within 72 Hours
CCE-84908-3,Alert Audit Processing Failure
CCE-84906-7,Enforce Dual Authorization for Movement and Deletion of Audit Information
CCE-84895-2,Off-Load Audit Records
CCE-84925-7,Audit Record Reduction and Report Generation
CCE-84741-8,Must authenticate peripherals before establishing a connection
CCE-84892-9,Configure Automated Flaw Remediation
CCE-84904-2,Limit Impact of Denial of Service Attacks
CCE-84900-0,Configure the System to Notify upon Account Created Actions
CCE-84905-9,Configure the System to Notify upon Account Disabled Actions
CCE-84897-8,Configure the System to Notify upon Account Enabled Actions 
CCE-84901-8,Configure the System to Notify upon Account Modified Actions
CCE-84902-6,Configure the System to Notify upon Account Removed Actions
CCE-84911-7,Configure the System to Notify upon Baseline Configuration Changes
CCE-84909-1,Protect Against Denial of Service Attacks by Ensuring Rate-Limiting Measures on Network Interfaces
CCE-84899-4,Employ Automated Mechanisms for Account Management Functions
CCE-84896-0,Require Devices to Reauthenticate when Changing Authenticators
CCE-84745-9,Secure Name Address Resolution Service
CCE-84898-6,Require a Minimum of Fifty Percent Character Change in New Passwords
CCE-84910-9,Prevent the Use of Dictionary Words for Passwords
CCE-84850-7,Disable Wi-Fi When Connected to Ethernet
CCE-84927-3,Access Control for Mobile Devices
CCE-84742-6,Configure the System to Uniquely Identify and Authenticate Non-Organizational Users
CCE-84945-5,Information Input Validation
CCE-84946-3,Managed Access Control Points
CCE-84947-1,Non-Repudiation
CCE-84915-8,Configure the System for Nonlocal Maintenance
CCE-84944-8,Remove Elements of Personally Identifiable Information from Datasets
CCE-84948-9,Personally Identifiable Information Quality Operations
CCE-84949-7,Implement the Privacy Principle of Minimization
CCE-90877-2,Enforce Multifactor Authentication for Login
CCE-90878-0,Enforce Multifactor Authentication for the su Command
CCE-90879-8,Enforce Multifactor Authentication for Privilege Escalation Through the sudo Command
CCE-90880-6,Allow Smartcard Authentication
CCE-90881-4,Set Smartcard Certificate Trust to High
CCE-90882-2,Set Smartcard Certificate Trust to Moderate
CCE-90883-0,Enforce Smartcard Authentication
CCE-90884-8,Disable Password Authentication for SSH
CCE-90851-7,Configure Audit Log Files to Not Contain Access Control Lists
CCE-90852-5,Configure Audit Log Folder to Not Contain Access Control Lists
CCE-90854-1,Enable Security Auditing
CCE-90855-8,Configure Audit Capacity Warning
CCE-91088-5,Configure Audit_Control to Not Contain Access Control Lists
CCE-91089-3,Configure Audit_Control Group to Wheel
CCE-91090-1,Configure Audit_Control Owner to Mode 440 or Less Permissive
CCE-91091-9,Configure Audit_Control Owner to Root
CCE-90857-4,Configure System to Shut Down Upon Audit Failure
CCE-90858-2,Configure Audit Log Files Group to Wheel
CCE-90859-0,Configure Audit Log Files to Mode 440 or Less Permissive
CCE-90860-8,Configure Audit Log Files to be Owned by Root
CCE-90861-6,Configure System to Audit All Authorization and Authentication Events
CCE-90862-4,Configure System to Audit All Administrative Action Events
CCE-91092-7,Configure Audit Flags
CCE-90863-2,Configure System to Audit All Failed Program Execution on the System
CCE-90864-0,Configure System to Audit All Deletions of Object Attributes
CCE-91086-9,Configure System to Audit All Changes of Object Attributes
CCE-90865-7,Configure System to Audit All Failed Change of Object Attributes
CCE-90866-5,Configure System to Audit All Failed Read Actions on the System
CCE-90867-3,Configure System to Audit All Failed Write Actions on the System
CCE-90868-1,Configure System to Audit All Log In and Log Out Events
CCE-90869-9,Configure Audit Log Folders Group to Wheel
CCE-90870-7,Configure Audit Log Folders to be Owned by Root
CCE-90871-5,Configure Audit Log Folders to Mode 700 or Less Permissive
CCE-90875-6,Configure Audit Retention to a Minimum of Seven Days
CCE-91093-5,Configure Audit Retention to a Minimum of Sixty Days or One Gigabyte
CCE-90876-4,Configure Audit Failure Notification
CCE-90898-8,Disable AirDrop
CCE-90900-2,Must Use an Approved Antivirus Program
CCE-90902-8,Disable Apple ID Setup during Setup Assistant
CCE-90904-4,Configure Apple System Log Files Owned by Root and Group to Wheel
CCE-90905-1,Configure Apple System Log Files To Mode 640 or Less Permissive
CCE-90907-7,Enable Authenticated Root
CCE-91094-3,Disable Blank Blu Ray
CCE-91095-0,Disable Blank CD
CCE-91096-8,Disable Blank DVD
CCE-91097-6,Enforce Blu Ray Read Only
CCE-90908-5,Disable Bonjour Multicast
CCE-91098-4,Disable Burn Support
CCE-90909-3,Disable Calendar.app
CCE-90910-1,Disable Camera
CCE-91099-2,Enforce CD Read Only
CCE-90911-9,Issue or Obtain Public Key Certificates from an Approved Service Provider
CCE-90913-5,"Enforce Installation of XProtect, MRT, and Gatekeeper Updates Automatically"
CCE-91087-7,Integrate System into a Directory Services Infrastructure
CCE-91100-8,Disable Disk Images
CCE-91101-6,Disable Blank CD
CCE-91102-4,Ensure Extensible Firmware Interface Version is Valid
CCE-91103-2,Disable Erase Content and Settings
CCE-90930-9,Must Use ESS
CCE-90919-2,Disable FaceTime.app
CCE-90921-8,FileVault Authorized Users
CCE-90922-6,Disable FileVault Automatic Login
CCE-90923-4,Control Connections to Other Systems via a Deny-All and Allow-by-Exception Firewall Policy
CCE-90924-2,Enable Firewall Logging
CCE-90925-9,Enable Firmware Password
CCE-90926-7,Enable Gatekeeper
CCE-90927-5,Enforce Gatekeeper 30 Day Automatic Rearm
CCE-91104-0,Remove Guest Folder if Present
CCE-90929-1,Disable Handoff
CCE-91105-7,Enable DestroyFVKeyOnStandby on Hibernate
CCE-91106-5,Enable Hibernate Mode
CCE-90931-7,Secure User's Home Folders
CCE-90932-5,Disable the Built-in Web Server
CCE-90933-3,Disable iCloud Storage Setup during Setup Assistant
CCE-91107-3,Configure Install.log Retention to 365 Days or More
CCE-90939-0,Disable Infrared (IR) support
CCE-91108-1,Enable Library Validation
CCE-90946-5,Disable Mail App
CCE-90950-7,Enforce Enrollment in Mobile Device Management
CCE-90951-5,Disable Messages App
CCE-91109-9,Enable Apple Mobile File Integrity
CCE-90954-9,Configure System Log Files Owned by Root and Group to Wheel
CCE-90955-6,Configure System Log Files to Mode 640 or Less Permissive
CCE-90956-4,Disable Network File System Service
CCE-90966-3,Enable Parental Controls
CCE-90967-1,Disable Password Autofill
CCE-91110-7,Remove Password Hint From User Accounts
CCE-90968-9,Disable Proximity Based Password Sharing Requests
CCE-90969-7,Disable Password Sharing
CCE-90973-9,Display Policy Banner at Login Window
CCE-90974-7,Display Policy Banner at Remote Login
CCE-90975-4,Enforce SSH to Display Policy Banner
CCE-90981-2,Disable Privacy Setup Services During Setup Assistant
CCE-90989-5,Enable Recovery Lock
CCE-90991-1,Disable Removable Storage Devices
CCE-90994-5,Disable Root Login
CCE-91111-5,Disable Automatic Opening of Safe Files in Safari
CCE-90995-2,Enforce Screen Saver at Login Window
CCE-90996-0,Ensure Secure Boot Level Set to Full
CCE-91112-3,Enable Show All Filename Extensions
CCE-91000-0,Ensure System Integrity Protection is Enabled
CCE-91001-8,Disable Siri Setup during Setup Assistant
CCE-91113-1,Disable Screen Time Prompt During Setup Assistant
CCE-91002-6,Disable Unlock with Apple Watch During Setup Assistant
CCE-91003-4,Limit SSH to FIPS Compliant Connections
CCE-91005-9,Set SSH Active Server Alive Maximum to Zero
CCE-91006-7,Configure SSH ServerAliveInterval option set to 900 or less
CCE-91007-5,Set SSHD Active Client Alive Maximum to Zero
CCE-91008-3,Configure SSHD ClientAliveInterval option set to 900 or less
CCE-91114-9,Limit SSHD to FIPS 140 Validated Ciphers
CCE-91115-6,Limit SSHD to FIPS 140 Validated Message Authentication Code Algorithms
CCE-91010-9,Limit SSHD to FIPS Compliant Connections
CCE-91011-7,Configure SSHD to Use Secure Key Exchange Algorithms
CCE-91012-5,Set Login Grace Time to 30 or Less
CCE-91013-3,Disable Root Login for SSH
CCE-91116-4,Configure Sudo Timeout Period to Zero
CCE-91015-8,Configure Sudoers Timestamp Type
CCE-91015-8,Configure Sudoers to Authenticate Users on a Per -tty Basis
CCE-91016-6,Ensure System Volume is Read Only
CCE-91117-2,Ensure Appropriate Permissions Are Enabled for System Wide Applications
CCE-91118-0,Ensure Secure Keyboard Entry Terminal.app is Enabled
CCE-91018-2,Disable Trivial File Tansfer Protocol Service
CCE-91119-8,Ensure Time Offset Within Limits
CCE-91019-0,Enable Time Synchronization Daemon
CCE-91020-8,Disable TouchID Prompt during Setup Assistant
CCE-91022-4,Disable Login to Other User's Active and Locked Sessions
CCE-91023-2,Prohibit User Installation of Software into /Users/
CCE-91024-0,Disable Unix-to-Unix Copy Protocol Service
CCE-91120-6,Ensure No World Writable Files Exist in the Library Folder
CCE-91121-4,Ensure No World Writable Files Exist in the System Folder
CCE-91027-3,Restrict Maximum Password Lifetime to 60 Days
CCE-91028-1,Disable Accounts after 35 Days of Inactivity
CCE-91029-9,Limit Consecutive Failed Login Attempts to Three
CCE-91122-2,Limit Consecutive Failed Login Attempts to Five
CCE-91030-7,Set Account Lockout Time to 15 Minutes
CCE-91031-5,Require Passwords Contain a Minimum of One Numeric Character
CCE-91034-9,Prohibit Password Reuse for a Minimum of Five Generations
CCE-91123-0,Prohibit Password Reuse for a Minimum of Fifteen Generations
CCE-91035-6,Require Passwords Contain a Minimum of One Lowercase Character
CCE-91036-4,Require a Minimum Password Length of 15 Characters
CCE-91037-2,Set Minimum Password Lifetime to 24 Hours
CCE-91039-8,"Prohibit Repeating, Ascending, and Descending Character Sequences"
CCE-91040-6,Require Passwords Contain a Minimum of One Special Character
CCE-91042-2,Automatically Remove or Disable Temporary or Emergency User Accounts within 72 Hours
CCE-91043-0,Require Passwords Contain a Minimum of One Uppercase Character
CCE-90885-5,Disable iCloud Address Book
CCE-90886-3,Disable the System Preference Pane for Apple ID
CCE-90887-1,Disable iCloud Bookmarks
CCE-90888-9,Disable the iCloud Calendar Services
CCE-90889-7,Disable iCloud Document Sync
CCE-90890-5,Disable iCloud Keychain Sync
CCE-90891-3,Disable iCloud Mail
CCE-90892-1,Disable iCloud Notes
CCE-90893-9,Disable iCloud Photo Library
CCE-90894-7,Disable iCloud Private Relay
CCE-90895-4,Disable iCloud Reminders
CCE-90896-2,Disable iCloud Desktop and Document Folder Sync
CCE-91044-8,Disable Airplay Receiver
CCE-91045-5,Prevent Apple Watch from Terminating a Session Lock
CCE-91046-3,Disable Unattended or Automatic Logon to the System
CCE-91047-1,Enforce Auto Logout After 24 Hours of Inactivity
CCE-91048-9,Disable Bluetooth When no Approved Device is Connected
CCE-91124-8,Enable Bluetooth Menu
CCE-91150-3,Disable the Bluetooth System Preference Pane
CCE-91125-5,Hide the Bluetooth System Preference Pane
CCE-91049-7,Disable Bluetooth Sharing
CCE-91126-3,Disable Bluetooth When No Devices are Paired
CCE-91127-1,Disable CD/DVD Sharing
CCE-91050-5,Disable Content Caching Service
CCE-91051-3,Enforce Critical Security Updates to be Installed
CCE-91052-1,Disable Sending Diagnostic and Usage Data to Apple
CCE-91053-9,Enforce FileVault
CCE-91054-7,Disable Find My Service
CCE-91055-4,Enable macOS Application Firewall
CCE-91056-2,Enable Firewall Stealth Mode
CCE-91057-0,Apply Gatekeeper Settings to Block Applications from Unidentified Developers
CCE-91058-8,Configure Gatekeeper to Disallow End User Override
CCE-91059-6,Disable Guest Access to Shared SMB Folders
CCE-91060-4,Disable the Guest Account
CCE-91061-2,Disable Hot Corners
CCE-91128-9,Secure Hot Corners
CCE-91062-0,Disable Sending Siri and Dictation Information to Apple
CCE-91129-7,Enforce macOS Updates are Automatically Installed
CCE-90938-2,Disable the Internet Accounts System Preference Pane
CCE-91130-5,Hide the Internet Accounts System Preference Pane
CCE-91063-8,Disable Internet Sharing
CCE-91131-3,Audit Location Services
CCE-91064-6,Disable Location Services
CCE-91132-1,Enable Location Services
CCE-91133-9,Configure Login Window to Show A Custom Message
CCE-91065-3,Configure Login Window to Prompt for Username and Password
CCE-91066-1,Disable Media Sharing
CCE-91067-9,Disable Password Hints
CCE-91068-7,Disable Personalized Advertising
CCE-91069-5,Disable Power Nap
CCE-91134-7,Disable Printer Sharing
CCE-91070-3,Disable Remote Apple Events
CCE-91135-4,Disable Remote Management
CCE-91071-1,Disable Screen Sharing and Apple Remote Desktop
CCE-91072-9,Enforce Session Lock After Screen Saver is Started
CCE-91073-7,Enforce Screen Saver Password
CCE-91074-5,Enforce Screen Saver Timeout
CCE-91075-2,Disable Siri
CCE-91136-2,Disable the System Preference Pane for Siri
CCE-91137-0,Hide the System Preference Pane for Siri
CCE-91076-0,Disable Server Message Block Sharing
CCE-91138-8,Enforce Software Update App Update Updates Automatically
CCE-91139-6,Enforce Software Update Downloads Updates Automatically
CCE-91140-4,Enforce Software Update Automatically
CCE-91141-2,Ensure Software Update is Updated and Current
CCE-91077-8,Disable SSH Server for Remote Access Sessions
CCE-91078-6,Enable SSH Server for Remote Access Sessions
CCE-91079-4,Require Administrator Password to Modify System-Wide Preferences
CCE-91142-0,Configure Time Machine for Automatic Backups
CCE-91143-8,Ensure Time Machine Volumes are Encrypted
CCE-91080-2,Configure macOS to Use an Authorized Time Server
CCE-91081-0,Enable macOS Time Synchronization Daemon (timed)
CCE-91082-8,Configure User Session Lock When a Smart Token is Removed
CCE-91144-6,Disable the System Preference Pane for Touch ID
CCE-91145-3,Hide the System Preference Pane for Touch ID
CCE-91083-6,Disable TouchID for Unlocking the Device
CCE-91146-1,Ensure Wake for Network Access Is Disabled
CCE-91147-9,Disable the System Preference Pane for Wallet and Apple Pay
CCE-91148-7,Hide the System Preference Pane for Wallet and Apple Pay
CCE-91084-4,Disable Wi-Fi Interface
CCE-91149-5,Enable Wifi Menu
CCE-90873-1,Audit Record Reduction and Report Generation
CCE-90899-6,Allow Information Transfer with Other Operating Systems
CCE-90903-6,Ensure Seperate Execution Domain for Processes
CCE-90912-7,Allow Administrators to Modify Security Settings and System Attributes
CCE-90915-0,Protect Audit Integrity with Cryptographic Mechanisms
CCE-90917-6,Enforce Access Restrictions
CCE-90918-4,Generate Error Messages without Exploitable Information
CCE-90920-0,"Configure System to Fail to a Known Safe State if System Initialization, Shutdown, or Abort Fails"
CCE-90928-3,Allow Administrators to Promote Other Users to Administrator Status
CCE-90935-8,Configure the System to Implement Approved Cryptography to Protect Information
CCE-90936-6,Configure the System to Protect Memory from Unauthorized Code Execution
CCE-90940-8,Configure the System to Separate User and System Functionality
CCE-90941-6,Only allow authorized users to select auditable events
CCE-90943-2,Limit Concurrent GUI Sessions to 10 for all Accounts
CCE-90944-0,Enforce Approved Authorization for Logical Access
CCE-90945-7,Display logoff capability and message to prevent exploitation
CCE-90947-3,Ensure the System Implements Malicious Code Protection Mechanisms
CCE-90949-9,Map identity for PKI based authentication
CCE-90952-3,Enforce multifactor authentication for network access to privileged accounts
CCE-90953-1,Enforce multifactor authentication for network access to non-privileged accounts
CCE-90965-5,Obscure Passwords
CCE-90970-5,The macOS system must uniquely identify peripherals before establishing a connection.
CCE-90976-2,Must behave in predictable and documented manner
CCE-90977-0,Prevent Software From Executing at Higher Privilege Levels than Users Executing The Software
CCE-90978-8,Configure the System to Block Non-Privileged Users from Executing Privileged Functions
CCE-90979-6,Configure the System to Prevent the Unauthorized Disclosure of Data via Shared Resources
CCE-90982-0,Prohibit Remote Activation of Collaborative Computing Devices
CCE-90985-3,Provide Ability to Disconnect or Disable Remote Access
CCE-90987-9,Require users to reauthenticate for privilege escalation
CCE-90988-7,Require users to reauthenticate when changing authenticators
CCE-90990-3,Control remote access methods
CCE-90992-9,Must remove all software components after updated versions installed
CCE-90993-7,"Ensure all Federal Laws, Executive Orders, Directives, Policies, Regulations, Standards, and Guidance for Authentication to a Cryptographic Module are Met"
CCE-90997-8,Protected Storage for Cryptographic Keys
CCE-90999-4,Configure the System to Separate User and System Functionality
CCE-91014-1,Encrypt Stored Passwords
CCE-91017-4,Terminate all sessions and network connections when maintenance is completed
CCE-91021-6,Uniquely Identify Users and Processes
CCE-91025-7,Verify remote disconnection of sessions
CCE-91032-3,Automatically Remove or Disable Emergency Accounts within 72 Hours
CCE-91033-1,Force Password Change at Next Logon
CCE-91041-4,Automatically Remove or Disable Temporary User Accounts within 72 Hours
CCE-90853-3,Alert Audit Processing Failure
CCE-90856-6,Enforce Dual Authorization for Movement and Deletion of Audit Information
CCE-90872-3,Off-Load Audit Records
CCE-90874-9,Audit Record Reduction and Report Generation
CCE-90906-9,Must authenticate peripherals before establishing a connection
CCE-90914-3,Configure Automated Flaw Remediation
CCE-90942-4,Limit Impact of Denial of Service Attacks
CCE-90959-8,Configure the System to Notify upon Account Created Actions
CCE-90960-6,Configure the System to Notify upon Account Disabled Actions
CCE-90961-4,Configure the System to Notify upon Account Enabled Actions 
CCE-90962-2,Configure the System to Notify upon Account Modified Actions
CCE-90963-0,Configure the System to Notify upon Account Removed Actions
CCE-90964-8,Configure the System to Notify upon Baseline Configuration Changes
CCE-90983-8,Protect Against Denial of Service Attacks by Ensuring Rate-Limiting Measures on Network Interfaces
CCE-90984-6,Employ Automated Mechanisms for Account Management Functions
CCE-90986-1,Require Devices to Reauthenticate when Changing Authenticators
CCE-90998-6,Secure Name Address Resolution Service
CCE-91026-5,Require a Minimum of Fifty Percent Character Change in New Passwords
CCE-91038-0,Prevent the Use of Dictionary Words for Passwords
CCE-91085-1,Disable Wi-Fi When Connected to Ethernet
CCE-90897-0,Access Control for Mobile Devices
CCE-90934-1,Configure the System to Uniquely Identify and Authenticate Non-Organizational Users
CCE-90937-4,Information Input Validation
CCE-90948-1,Managed Access Control Points
CCE-90957-2,Non-Repudiation
CCE-90958-0,Configure the System for Nonlocal Maintenance
CCE-90971-3,Remove Elements of Personally Identifiable Information from Datasets
CCE-90972-1,Personally Identifiable Information Quality Operations
CCE-90980-4,Implement the Privacy Principle of Minimization
CCE-20013-9,Application object owner accounts for a specified database should be enabled or disabled as appropriate.
CCE-19816-8,Application object owner accounts for a specified database should be configured appropriately.
CCE-19517-2,Database application permissions allowing DDL statements to modify the application schema for a specified database should be configured appropriately.
CCE-19448-0,"
Custom and GOTS application source code for a specified databased should be encrypted or not encrypted as appropriate.
"
CCE-19649-3,Permissions on system tables for a specified database should be configured appropriately 
CCE-19926-5,"DDL permissions for a specified database and specified account should be configured appropriately 
"
CCE-19822-6,"Permissions using the WITH GRANT OPTION for a specified database should be configured appropriately 
"
CCE-19220-3,"Object permissions assigned to PUBLIC or GUEST for a specified database should be configured appropriately.
"
CCE-19886-1,Access to DBMS software files and directories should be configured appropriately.
CCE-19147-8,Default demonstration and sample database objects and applications should be available or removed as appropriate.
CCE-19909-1,Required auditing parameters for database auditing should be set appropriately 
